"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"D0000905","1681035012725066","1","20","15","924.125","-38","6.19114645990645","354.7265625","221","-¡Þ",""
"D0000905","1681035012752164","1","20","15","924.125","-38","6.25250569142187","358.2421875","-104","0.0590789773749446",""
"D0000905","1681035012785391","1","20","15","924.125","-38","6.24023384511879","357.5390625","-156","-0.00963627248265718",""
"D0000905","1681035012817387","1","20","15","924.125","-38","6.2279619988157","356.8359375","52","-0.0100070141824369",""
"D0000905","1681035012850468","1","20","15","924.125","-38","6.24636976827033","357.890625","0","0.0145182019489095",""
"D0000905","1681035012885023","1","20","15","924.125","-38","6.24023384511879","357.5390625","-104","-0.00463296810564679",""
"D0000905","1681035012914676","1","20","15","924.125","-38","6.23409792196725","357.1875","104","-0.00539885383909301",""
"D0000905","1681035012951930","1","20","15","924.125","-38","6.24636976827033","357.890625","-156","0.0085946321410117",""
"D0000905","1681035012983507","1","20","15","924.125","-38","6.23409792196725","357.1875","52","-0.0101397987706638",""
"D0000905","1681035013018257","1","20","15","924.125","-38","6.25250569142187","358.2421875","-156","0.0138209104653777",""
"D0000905","1681035013050462","1","20","15","924.125","-38","6.25250569142187","358.2421875","-104","0",""
"D0000905","1681035013081138","1","20","15","924.125","-38","6.24636976827033","357.890625","0","-0.00521880991298165",""
"D0000905","1681035013117027","1","20","15","924.125","-38","6.24023384511879","357.5390625","0","-0.00446075992339226",""
"D0000905","1681035013147770","1","20","15","924.125","-38","6.24023384511879","357.5390625","0","0",""
"D0000905","1681035013182171","1","20","15","924.125","-38","6.24636976827033","357.890625","-52","0.00465370811577062",""
"D0000905","1681035013219034","1","20","15","924.125","-38","6.25250569142187","358.2421875","-156","0.00434289702114926",""
"D0000905","1681035013251443","1","20","15","924.125","-38","6.25864161457342","358.59375","-156","0.00493974553027323",""
"D0000905","1681035013285509","1","20","15","924.125","-38","6.26477753772496","358.9453125","-208","0.00469947199232739",""
"D0000905","1681035013315763","1","20","15","924.125","-38","6.24023384511879","357.5390625","-52","-0.0211664193681001",""
"D0000905","1681035013348498","1","20","15","924.125","-38","6.23409792196725","357.1875","104","-0.00489055179137391",""
"D0000905","1681035013384676","1","20","15","924.125","-38","6.26477753772496","358.9453125","-156","0.0221256306167595",""
"D0000905","1681035013418812","1","20","15","924.125","-38","6.25864161457342","358.59375","0","-0.00468983515615845",""
"D0000905","1681035013450857","1","20","15","924.125","-38","6.22182607566416","356.484375","208","-0.0299751373800515",""
"D0000905","1681035013485059","1","20","15","924.125","-38","0","0","-312","0.0468078512632668",""
"D0000905","1681035013517488","1","20","15","924.125","-38","6.23409792196725","357.1875","52","-0.0394935922515341",""
"D0000905","1681035013548991","1","20","15","924.125","-38","6.23409792196725","357.1875","0","0",""
"D0000905","1681035013583217","1","20","15","924.125","-38","6.2279619988157","356.8359375","104","-0.00467750286012461",""
"D0000905","1681035013614100","1","20","15","924.125","-38","6.26477753772496","358.9453125","-156","0.0311029782515866",""
"D0000905","1681035013650684","1","20","15","924.125","-38","6.25864161457342","358.59375","0","-0.00437601719031885",""
"D0000905","1681035013682419","1","20","15","924.125","-38","6.25864161457342","358.59375","0","0",""
"D0000905","1681035013715204","1","20","15","924.125","-38","6.24636976827033","357.890625","-104","-0.00976618654205429",""
"D0000905","1681035013748620","1","20","15","924.125","-38","6.21569015251262","356.1328125","208","-0.0239544249596937",""
"D0000905","1681035013781829","1","20","15","924.125","-38","6.26477753772496","358.9453125","-52","0.0385659822073835",""
"D0000905","1681035013817527","1","20","15","924.125","-38","6.26477753772496","358.9453125","-208","0",""
"D0000905","1681035013851506","1","20","15","924.125","-38","6.24023384511879","357.5390625","0","-0.0188460181748286",""
"D0000905","1681035013885140","1","20","15","924.125","-38","6.23409792196725","357.1875","156","-0.00475983269580261",""
"D0000905","1681035013916419","1","20","15","924.125","-38","6.25864161457342","358.59375","-156","0.0204728044874357",""
"D0000905","1681035013948506","1","20","15","924.125","-38","6.25250569142187","358.2421875","-104","-0.00498931694738134",""
"D0000905","1681035013981941","1","20","15","924.125","-38","6.25250569142187","358.2421875","-104","0",""
"D0000905","1681035014018744","1","20","15","924.125","-38","6.23409792196725","357.1875","104","-0.0130499317629507",""
"D0000905","1681035014050055","1","20","15","924.125","-38","6.25250569142187","358.2421875","-52","0.0153389108834555",""
"D0000905","1681035014084612","1","20","15","924.125","-38","6.24023384511879","357.5390625","-52","-0.00926539994158202",""
"D0000905","1681035014118659","1","20","15","924.125","-38","6.2279619988157","356.8359375","208","-0.00940418908512497",""
"D0000905","1681035014149985","1","20","15","924.125","-38","6.24023384511879","357.5390625","0","0.0102210440458804",""
"D0000905","1681035014185626","1","20","15","924.125","-38","6.25250569142187","358.2421875","-156","0.00898359826551584",""
"D0000905","1681035014216404","1","20","15","924.125","-38","6.26477753772496","358.9453125","-156","0.0104030289746329",""
"D0000905","1681035014250829","1","20","15","924.125","-38","6.25250569142187","358.2421875","-104","-0.00930092740105301",""
"D0000905","1681035014283453","1","20","15","924.125","-38","6.23409792196725","357.1875","52","-0.0147215742604179",""
"D0000905","1681035014318556","1","20","15","924.125","-38","6.2279619988157","356.8359375","0","-0.00456064190783195",""
"D0000905","1681035014352510","1","20","15","924.125","-38","6.2709134608765","359.296875","-208","0.0330048150507856",""
"D0000905","1681035014385458","1","20","15","924.125","-38","6.24636976827033","357.890625","-104","-0.0194357427328669",""
"D0000905","1681035014417963","1","20","15","924.125","-38","6.25250569142187","358.2421875","-156","0.00492515652639978",""
"D0000905","1681035014455992","1","20","15","924.125","-38","6.26477753772496","358.9453125","-104","0.00841948054856162",""
"D0000905","1681035014485042","1","20","15","924.125","-38","6.24636976827033","357.890625","156","-0.0165327586461919",""
"D0000905","1681035014521560","1","20","15","924.125","-38","6.24023384511879","357.5390625","52","-0.00438392608824758",""
"D0000905","1681035014553937","1","20","15","924.125","-38","6.24023384511879","357.5390625","52","0",""
"D0000905","1681035014587159","1","20","15","924.125","-38","6.23409792196725","357.1875","0","-0.00481886138374044",""
"D0000905","1681035014645111","1","20","15","924.125","-38","6.25250569142187","358.2421875","-52","0.00828749031391281",""
"D0000905","1681035014680219","1","20","15","924.125","-38","0","0","-364","0.0227999619589018",""
"D0000905","1681035014712299","1","20","15","924.125","-38","6.25864161457342","358.59375","-104","-0.0199616225549408",""
"D0000905","1681035014743402","1","20","15","924.125","-38","6.25864161457342","358.59375","-104","0",""
"D0000905","1681035014779234","1","20","15","924.125","-38","6.24636976827033","357.890625","-104","-0.00893571181573035",""
"D0000905","1681035014811884","1","20","15","924.125","-38","6.23409792196725","357.1875","0","-0.00980656740524502",""
"D0000905","1681035014845704","1","20","15","924.125","-38","6.24636976827033","357.890625","-52","0.00946731004675488",""
"D0000905","1681035014877802","1","20","15","924.125","-38","6.24023384511879","357.5390625","-104","-0.00498760710606969",""
"D0000905","1681035014910451","1","20","15","924.125","-38","6.26477753772496","358.9453125","-364","0.019613735537459",""
"D0000905","1681035014944985","1","20","15","924.125","-38","6.26477753772496","358.9453125","-104","0",""
"D0000905","1681035014976168","1","20","15","924.125","-38","6.25250569142187","358.2421875","0","-0.0102679160369833",""
"D0000905","1681035015014112","1","20","15","924.125","-38","6.25864161457342","358.59375","-260","0.00421917069604219",""
"D0000905","1681035015047914","1","20","15","924.125","-38","6.24023384511879","357.5390625","0","-0.0142085272667852",""
"D0000905","1681035015080471","1","20","15","924.125","-38","6.24636976827033","357.890625","-52","0.00491729007250745",""
"D0000905","1681035015113049","1","20","15","924.125","-38","6.22182607566416","356.484375","156","-0.019656481415756",""
"D0000905","1681035015146772","1","20","15","924.125","-38","6.25864161457342","358.59375","-208","0.0284836247470198",""
"D0000905","1681035015180814","1","20","15","924.125","-38","6.24636976827033","357.890625","-104","-0.00940557034784237",""
"D0000905","1681035015214401","1","20","15","924.125","-38","6.25250569142187","358.2421875","-52","0.00476649337215664",""
"D0000905","1681035015248511","1","20","15","924.125","-38","6.23409792196725","357.1875","52","-0.0140802298056838",""
"D0000905","1681035015281819","1","20","15","924.125","-38","6.25864161457342","358.59375","-208","0.0192256770614417",""
"D0000905","1681035015318520","1","20","15","924.125","-38","6.21262219093685","355.95703125","208","-0.0327155008495596",""
"D0000905","1681035015351189","1","20","15","924.125","-38","6.24636976827033","357.890625","-156","0.0269523759802393",""
"D0000905","1681035015384803","1","20","15","924.125","-38","0.0122718463030851","0.703125","-624","0.0381013179962218",""
"D0000905","1681035015420329","1","20","15","924.125","-38","6.25250569142187","358.2421875","-208","-0.0315443756751217",""
