"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"D0000905","1681035696195784","1","20","15","924.125","-40","4.57739867105075","262.265625","169","0",""
"D0000905","1681035696219806","1","20","15","924.125","-39.5","4.61421420996001","264.375","-156","0.0399863990235513",""
"D0000905","1681035696255275","1","20","15","924.125","-40","4.61421420996001","264.375","-104","0",""
"D0000905","1681035696289626","1","20","15","924.125","-40","4.62035013311155","264.7265625","-104","0.00466048187507278",""
"D0000905","1681035696321986","1","20","15","924.125","-40","4.63875790256618","265.78125","-208","0.0148416761023447",""
"D0000905","1681035696357791","1","20","15","924.125","-39.5","4.63875790256618","265.78125","-260","0",""
"D0000905","1681035696389873","1","20","15","924.125","-40","4.63262197941464","265.4296875","-156","-0.0049900945355846",""
"D0000905","1681035696421339","1","20","15","924.125","-40","4.61421420996001","264.375","52","-0.0152633521474568",""
"D0000905","1681035696457052","1","20","15","924.125","-40","4.63875790256618","265.78125","-208","0.0179309733587909",""
"D0000905","1681035696491977","1","20","15","924.125","-40","4.63262197941464","265.4296875","-52","-0.00458388583795633",""
"D0000905","1681035696525246","1","20","15","924.125","-40","4.62648605626309","265.078125","-104","-0.00481205365026376",""
"D0000905","1681035696558742","1","20","15","924.125","-40","4.63875790256618","265.78125","-104","0.00955888541262389",""
"D0000905","1681035696589537","1","20","15","924.125","-40","4.65102974886926","266.484375","-156","0.0103972861107729",""
"D0000905","1681035696620233","1","20","15","924.125","-40","4.66330159517235","267.1875","-260","0.010430819187557",""
"D0000905","1681035696685760","1","20","15","924.125","-40","4.63262197941464","265.4296875","-104","-0.0122157441123983",""
"D0000905","1681035696719611","1","20","15","924.125","-40","4.62648605626309","265.078125","-104","-0.00472932004639819",""
"D0000905","1681035696751324","1","20","15","924.125","-40","4.63875790256618","265.78125","-104","0.0100963146274793",""
"D0000905","1681035696783959","1","20","15","924.125","-40","4.63875790256618","265.78125","-104","0",""
"D0000905","1681035696817193","1","20","15","924.125","-40","4.65716567202081","266.8359375","-156","0.0144513642255484",""
"D0000905","1681035696853922","1","20","15","924.125","-40","4.63262197941464","265.4296875","-156","-0.0174349656010918",""
"D0000905","1681035696886981","1","20","15","924.125","-40","4.64489382571772","266.1328125","-208","0.00968524231771227",""
"D0000905","1681035696920995","1","20","15","924.125","-40","4.64489382571772","266.1328125","-312","0",""
"D0000905","1681035696951049","1","20","15","924.125","-40","4.63875790256618","265.78125","-104","-0.00532681882247371",""
"D0000905","1681035696987545","1","20","15","924.125","-40","4.65716567202081","266.8359375","-208","0.0131597062327892",""
"D0000905","1681035697017387","1","20","15","924.125","-40","4.65716567202081","266.8359375","-260","0",""
"D0000905","1681035697055273","1","20","15","924.125","-40","4.66330159517235","267.1875","-260","0.00422562986038708",""
"D0000905","1681035697088809","1","20","15","924.125","-40","4.65716567202081","266.8359375","-156","-0.00477374203514507",""
"D0000905","1681035697120621","1","20","15","924.125","-40","4.65716567202081","266.8359375","-208","0",""
"D0000905","1681035697153390","1","20","15","924.125","-40","4.65716567202081","266.8359375","-208","0",""
"D0000905","1681035697187116","1","20","15","924.125","-40","4.65716567202081","266.8359375","-104","0",""
"D0000905","1681035697213085","1","20","15","924.125","-40","4.64489382571772","266.1328125","52","-0.0123294861481478",""
"D0000905","1681035697241848","1","20","15","924.125","-40","4.65716567202081","266.8359375","-52","0.0111318160755571",""
"D0000905","1681035697279289","1","20","15","924.125","-40","4.66330159517235","267.1875","-208","0.00427585301916682",""
"D0000905","1681035697313156","1","20","15","924.125","-40","4.67557344147543","267.890625","-312","0.00945417148791596",""
"D0000905","1681035697347331","1","20","15","924.125","-40","4.65102974886926","266.484375","-52","-0.0187379327450622",""
"D0000905","1681035697375997","1","20","15","924.125","-40","4.66943751832389","267.5390625","-208","0.0167542258658995",""
"D0000905","1681035697412538","1","20","15","924.125","-40","4.68170936462698","268.2421875","-416","0.00876233342769081",""
"D0000905","1681035697445632","1","20","15","924.125","-40","4.65102974886926","266.484375","-52","-0.0241874981704576",""
"D0000905","1681035697476080","1","20","15","924.125","-40","4.66943751832389","267.5390625","-104","0.0157736678491814",""
"D0000905","1681035697515330","1","20","15","924.125","-40","4.65716567202081","266.8359375","-52","-0.00815756498805732",""
"D0000905","1681035697547143","1","20","15","924.125","-40","4.67557344147543","267.890625","-208","0.015096867276644",""
"D0000905","1681035697580656","1","20","15","924.125","-40","4.66943751832389","267.5390625","-156","-0.00477701825830648",""
"D0000905","1681035697618057","1","20","15","924.125","-40","4.65102974886926","266.484375","-52","-0.0128412780051837",""
"D0000905","1681035697650515","1","20","15","924.125","-40","4.67557344147543","267.890625","-260","0.0197291531074774",""
"D0000905","1681035697682980","1","20","15","924.125","-40","4.67557344147543","267.890625","-364","0",""
"D0000905","1681035697719066","1","20","15","924.125","-40","4.66330159517235","267.1875","-156","-0.00887281565652192",""
"D0000905","1681035697748073","1","20","15","924.125","-40","4.66330159517235","267.1875","-104","0",""
"D0000905","1681035697784057","1","20","15","924.125","-40","4.66943751832389","267.5390625","-156","0.0044489832395127",""
"D0000905","1681035697818558","1","20","15","924.125","-40","4.64489382571772","266.1328125","-52","-0.0185608779908553",""
"D0000905","1681035697851605","1","20","15","924.125","-40","4.66943751832389","267.5390625","-208","0.0193775184301903",""
"D0000905","1681035697882801","1","20","15","924.125","-40","4.66330159517235","267.1875","-208","-0.00513181859503222",""
"D0000905","1681035697950499","1","20","15","924.125","-40","4.65716567202081","266.8359375","-104","-0.00236479974136053",""
"D0000905","1681035697981469","1","20","15","924.125","-40","4.65102974886926","266.484375","-52","-0.00516926744884162",""
"D0000905","1681035698015130","1","20","15","924.125","-40","4.65716567202081","266.8359375","-104","0.0047560147616121",""
"D0000905","1681035698050484","1","20","15","924.125","-40","4.66330159517235","267.1875","-156","0.00452826307887721",""
"D0000905","1681035698094560","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-156","-0.00363218560873548",""
"D0000905","1681035698127081","1","20","15","924.125","-39.5","4.64489382571772","266.1328125","-104","-0.00984546679933735",""
"D0000905","1681035698160984","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-208","0.00944413254818895",""
"D0000905","1681035698193040","1","20","15","924.125","-39.5","4.64489382571772","266.1328125","-260","-0.00998828380899831",""
"D0000905","1681035698224777","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-208","0.0100886796414674",""
"D0000905","1681035698259593","1","20","15","924.125","-40","4.66330159517235","267.1875","-156","0.00459823681326473",""
"D0000905","1681035698290578","1","20","15","924.125","-40","4.63875790256618","265.78125","-52","-0.0206670599181055",""
"D0000905","1681035698323851","1","20","15","924.125","-40","4.63262197941464","265.4296875","52","-0.00481147515675247",""
"D0000905","1681035698358635","1","20","15","924.125","-39.5","4.67557344147543","267.890625","-312","0.0322172691534721",""
"D0000905","1681035698393784","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-104","-0.0136640199912337",""
"D0000905","1681035698426719","1","20","15","924.125","-39.5","4.66943751832389","267.5390625","-260","0.00972170717416882",""
"D0000905","1681035698459488","1","20","15","924.125","-39.5","4.65102974886926","266.484375","-52","-0.0146564325634556",""
"D0000905","1681035698493272","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-156","0.00473869917388779",""
"D0000905","1681035698527478","1","20","15","924.125","-39.5","4.68170936462698","268.2421875","-468","0.0187209510484272",""
"D0000905","1681035698558808","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-52","-0.0408789563716885",""
"D0000905","1681035698589930","1","20","15","924.125","-39.5","4.64489382571772","266.1328125","-52","0.0102880414427495",""
"D0000905","1681035698627030","1","20","15","924.125","-39.5","4.64489382571772","266.1328125","-52","0",""
"D0000905","1681035698657601","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","-156","0.0104734691629731",""
"D0000905","1681035698693982","1","20","15","924.125","-39.5","4.66330159517235","267.1875","-52","0.00440043464694827",""
"D0000905","1681035698728132","1","20","15","924.125","-40","4.62955401783887","265.25390625","156","-0.0257835189135706",""
"D0000905","1681035698760804","1","20","15","924.125","-39.5","4.65716567202081","266.8359375","0","0.0220499191358904",""
"D0000905","1681035698796675","1","20","15","924.125","-40","4.63875790256618","265.78125","104","-0.0133889949728715",""
"D0000905","1681035698830586","1","20","15","924.125","-39.5","4.65102974886926","266.484375","-52","0.00944190456728643",""
"D0000905","1681035698864183","1","20","15","924.125","-39.5","4.63875790256618","265.78125","-208","-0.00953014929253356",""
"D0000905","1681035698894305","1","20","15","924.125","-39.5","4.65102974886926","266.484375","-364","0.0106295872047424",""
"D0000905","1681035698931453","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-156","-0.0215478912580253",""
"D0000905","1681035698963815","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-104","0.00494691962457898",""
"D0000905","1681035698995605","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-208","0.00503592994308352",""
"D0000905","1681035699031170","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-156","-0.0045013978037572",""
"D0000905","1681035699060578","1","20","15","924.125","-39.5","4.63875790256618","265.78125","-156","0.010887664097567",""
"D0000905","1681035699096169","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-104","-0.00899621886941221",""
"D0000905","1681035699129907","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-208","-0.00474516014258773",""
"D0000905","1681035699164179","1","20","15","924.125","-39.5","4.64489382571772","266.1328125","-416","0.0186848987967583",""
"D0000905","1681035699196982","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-104","-0.00976082753959241",""
"D0000905","1681035699228617","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-104","0",""
"D0000905","1681035699263180","1","20","15","924.125","-39.5","4.61421420996001","264.375","-104","-0.0138956872572368",""
"D0000905","1681035699293613","1","20","15","924.125","-39.5","4.61421420996001","264.375","-52","0",""
"D0000905","1681035699327127","1","20","15","924.125","-39.5","4.61421420996001","264.375","-52","0",""
"D0000905","1681035699361608","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-156","0.0092858219245744",""
"D0000905","1681035699396887","1","20","15","924.125","-39.5","4.59580644050538","263.3203125","156","-0.0226894488067441",""
"D0000905","1681035699427623","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-208","0.0260431111547737",""
"D0000905","1681035699464802","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-156","0.00430598490789491",""
"D0000905","1681035699495425","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-208","0",""
"D0000905","1681035699531690","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-52","-0.00882902042689232",""
"D0000905","1681035699566239","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-260","0.00926754539295638",""
"D0000905","1681035699597601","1","20","15","924.125","-39.5","4.63262197941464","265.4296875","-156","0",""
"D0000905","1681035699628876","1","20","15","924.125","-39.5","4.61421420996001","264.375","-156","-0.015356567183753",""
"D0000905","1681035699662539","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-52","-0.00475573219530716",""
"D0000905","1681035699701893","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","0","0",""
"D0000905","1681035699732723","1","20","15","924.125","-39.5","4.63875790256618","265.78125","-312","0.0259637062748338",""
"D0000905","1681035699766928","1","20","15","924.125","-39.5","4.61421420996001","264.375","-52","-0.0187214983646397",""
"D0000905","1681035699801423","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-208","0.00464102660938179",""
"D0000905","1681035699831394","1","20","15","924.125","-39.5","4.61421420996001","264.375","-208","-0.00534157061461496",""
"D0000905","1681035699867966","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-104","0.00437745304852414",""
"D0000905","1681035699900958","1","20","15","924.125","-39.5","4.60194236365692","263.671875","0","-0.0145573665940796",""
"D0000905","1681035699936124","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-104","0.0182098860138344",""
"D0000905","1681035699966720","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-104","-0.0156973669326669",""
"D0000905","1681035700022416","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-52","0",""
"D0000905","1681035700056263","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-156","0",""
"D0000905","1681035700087412","1","20","15","924.125","-39.5","4.61421420996001","264.375","-156","0.0051395618764848",""
"D0000905","1681035700117977","1","20","15","924.125","-39.5","4.60194236365692","263.671875","-104","-0.0104755251359807",""
"D0000905","1681035700155102","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-208","0.0172489926346801",""
"D0000905","1681035700186942","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-156","0",""
"D0000905","1681035700221262","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-364","0",""
"D0000905","1681035700252920","1","20","15","924.125","-39.5","4.62648605626309","265.078125","-208","0",""
"D0000905","1681035700286792","1","20","15","924.125","-39.5","4.60194236365692","263.671875","-52","-0.0189055518293133",""
"D0000905","1681035700317852","1","20","15","924.125","-39.5","4.62035013311155","264.7265625","-156","0.0154628666668344",""
"D0000905","1681035700350261","1","20","15","924.125","-39.5","4.61421420996001","264.375","-52","-0.00493974553027323",""
"D0000905","1681035700388018","1","20","15","924.125","-39.5","4.60194236365692","263.671875","52","-0.00848013416800196",""
"D0000905","1681035700421120","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-104","0.00483633052053124",""
"D0000905","1681035700455018","1","20","15","924.125","-39.5","4.59580644050538","263.3203125","-52","-0.00944552557027701",""
"D0000905","1681035700487299","1","20","15","924.125","-39.5","4.60807828680847","264.0234375","-52","0.00991866502838357",""
"D0000905","1681035700520121","1","20","15","924.125","-39.5","4.60194236365692","263.671875","0","-0.00487758859577798",""
